,Fecha,Medio,Tipo de medio,Título,Resumen,Alcance
10,2025-05-20,Línea Directa TAMPS (sitio),Portales Estatales,"¿Quién era Ximena Guzmán? Aquí el perfil de la secretaria particular de Clara Brugada, asesinada en CDMX","Ciudad de México.- La mañana de este martes 20 de mayo, autoridades confirmaron el fallecimiento de Ximena Josefina Guzmán Cuevas, servidora pública de la Ciudad de México y secretaria particular de la jefa de Gobierno, Clara Brugada Molina.",203000
11,2025-05-20,El Universal (sitio),Portales Nacionales,"Fiscalía CDMX inicia investigación por el asesinato de Ximena Guzmán y José Muñoz, colaboradores de Brugada","La Fiscalía General de Justicia de la Ciudad de México (FGJCDMX) informó que inició la investigación por el homicidio de dos personas, identificadas como Ximena Guzmán y José Muñoz, colaboradores de la Jefatura de Gobierno de la Ciudad de México, quienes perdieron la vida la mañana de este martes 20 de mayo de 2025 en la calzada de Tlalpan, a la altura de la colonia Moderna, alcaldía Benito Juárez.",757666
12,2025-05-20,La Voz de Querétaro (Sitio),Portales Estatales,Asesinan a Ximena Guzmán y José Muñoz en ataque directo en CDMX,"La mañana del martes 20 de mayo, un ataque armado estremeció al gobierno capitalino. Ximena Josefina Guzmán Cuevas, secretaria particular de la jefa de Gobierno de la Ciudad de México, Clara Brugada, y José Muñoz, asesor de su administración, fueron asesinados en una agresión directa perpetrada por dos sujetos a bordo de una motocicleta. El ataque ocurrió en el cruce de la Calzada de Tlalpan y la calle Napoleón, en la colonia Moderna, alcaldía Benito Juárez.",6020
13,2025-05-20,Tribuna de México BCS (Sitio),Portales Estatales,"¿Quién era Ximena Guzmán, secretaria particular de Clara Brugada, que fue asesinada en Tlalpan?","Ximena Guzmán Cuevas, secretaria particular de la jefa de Gobierno de la Ciudad de México, Clara Brugada, fue asesinada a balazos la mañana de este martes 20 de mayo en un ataque directo ocurrido en la colonia Moderna, en la alcaldía Benito Juárez.",4000
14,2025-05-20,El Universal EDO.MEX (sitio),Portales Estatales,"¿Quiénes eran Ximena Guzmán y José Muñoz, funcionarios del gobierno de la CDMX asesinados en Calzada de Tlalpan?","La jefa de Gobierno, Clara Brugada, confirmó la mañana de este martes 20 de mayo, la muerte de Ximena Guzmán y de José Muñoz, ambos funcionarios del Gobierno de la Ciudad de México.",4000
15,2025-05-20,El Horizonte NL (sitio),Portales Estatales,Sheinbaum promete justicia por asesinato de Ximena Guzmán,"La presidenta Claudia Sheinbaum condenó el asesinato de Ximena Guzmán, secretaria de Clara Brugada, y del asesor José Muñoz",667200
16,2025-05-20,ABC Noticias Nuevo León (sitio),Portales Estatales,"¿Quién era Ximena Guzmán Cuevas, secretaria de Clara Brugada que fue asesinada este martes?","La funcionaria murió junto a José Muñoz, quien se desempeñaba como asesor de la mandataria morenista.",563100
17,2025-05-20,Amexi CDMX (Sitio),Portales Estatales,"Ximena Guzmán Cuevas, con compromiso con el servicio público","Ximena Josefina Guzmán Cuevas, quien nació el 2 de agosto de 1982, fue una socióloga con un fuerte compromiso con en el servicio público, especialmente en la Ciudad de México.",51107
18,2025-05-20,Cúspide México EDO.MEX (sitio),Portales Estatales,Gobierno de la CDMX lamenta mucho el asesinato de Ximena Guzmán y de José Muñoz,Martín Aguilar,10600
19,2025-05-20,Vanguardia COAH (sitio),Portales Estatales,"¿Quién era Ximena Guzmán Cuevas, secretaria particular de Clara Brugada, asesinada el día de hoy en Tlalpan?","La mañana de este lunes, autoridades capitalinas confirmaron el fallecimiento de Ximena Josefina Guzmán Cuevas, servidora pública de la Ciudad de México y secretaria particular de la jefa de Gobierno, Clara Brugada Molina. La funcionaria perdió la vida en un ataque directo perpetrado en la colonia Moderna, en la alcaldía Benito Juárez, en el que también murió José Muñoz, identificado como asesor del Gobierno capitalino.",612000
20,2025-05-20,La Saga (AdelaMichaOf) Youtube,TV Paga,Dos funcionarios cercanos a la jefa de Gobierno de la CDMX fueron asesinados en la alcaldía Benito Juárez.,"En la mañana de hoy, se reportó el asesinato de Ximena Guzmán y José Muñoz, ambos cercanos a la jefa de gobierno de la Ciudad de México, Clara Brugada. 
 
 El ataque, perpetrado por dos sujetos en motocicleta en la alcaldía Benito Juárez, ocurrió poco antes de las 8:00 a.m. y fue informado durante la conferencia matutina de la presidenta Claudia Sheinbaum. 
 
 El secretario de Seguridad de la Ciudad de México, Pablo Vázquez, condenó el ataque y aseguró que no habrá impunidad, colaborando con la fiscalía y autoridades federales para esclarecer el caso. 
 
 Ximena Guzmán, socióloga graduada de la Universidad Autónoma Metropolitana, ocupó diversos cargos en la administración pública, incluyendo secretaria particular en la alcaldía Iztapalapa. 
 
 José Muñoz Vega, quien se describía como sociólogo del deporte, fue asesor de la administración capitalina y coordinador de asesores en la alcaldía de Iztapalapa. 
 
 Se espera una conferencia de prensa conjunta con Clara Brugada y Pablo Vázquez a las 11:00 a.m. para brindar más detalles sobre el caso.",1950000
21,2025-05-20,Sol Yucatán YUC (sitio),Portales Estatales,ATAQUE DIRECTO A CLARA BRUGADA: MUEREN DOS FUNCIONARIOS,"La jefa de Gobierno, Clara Brugada, confirmó este lunes el asesinato de su secretaria particular, Ximena Guzmán, y de su asesor, José Muñoz, en lo que calificó como una agresión directa ocurrida en la alcaldía Benito Juárez.",2430
22,2025-05-20,Desinformemonos.org CDMX (sitio),Portales Nacionales,Olas de calor en Ciudad de México: un fenómeno cada vez más extremo,"La ola de calor que se registra actualmente en la Ciudad de México obedece a una combinación de factores; uno de los principales es la circulación anticiclónica, que impide la formación de nubes y atrapa el calor en la atmósfera, generando un ambiente seco y con altos índices de radiación, así como la presencia de masas de aire caliente que se desplazan hacia el norte del país, lo que contribuye a la elevación de las temperaturas, explicó la doctora Fabiola Sagrario Sosa Rodríguez, profesora e investigadora de la Universidad Autónoma Metropolitana (UAM).",34100
23,2025-05-20,La República PER (Sitio),Portales Internacional,Asesinan a Ximena Guzmán Cuevas en CDMX: ¿quién fue la secretaria de Clara Brugada que murió durante presunta agresión directa? LRTMU,"La Ciudad de México amaneció la mañana del martes 20 de mayo con la noticia del asesinato de Ximena Guzmán Cuevas, secretaria particular de la jefa de Gobierno, Clara Brugada. El hecho ocurrió en plena luz del día, en la alcaldía Benito Juárez, donde también perdió la vida José Muñoz, asesor cercano a la mandataria capitalina. Las autoridades ya iniciaron investigaciones para esclarecer los hechos y dar con los responsables.",1450000
24,2025-05-20,Demócrata Coahuila (sitio),Portales Estatales,"Sheinbaum pide ""que haya justicia"" ante asesinato de secretaria particular de Clara Brugada en CDMX",Ximena Guzmán fue atacada en la calzada Tlalpan junto al funcionario José Muñoz. Ambos perdieron la vida,4000
25,2025-05-20,El Heraldo de México (sitio),Portales Nacionales,"¿Quién era Ximena Guzmán, la secretaria de Clara Brugada y el asesor José Muñoz, asesinados en Calzada de Tlalpan?","Ximena Josefina Guzmán Cuevas era la secretaria particular de la jefa de Gobierno de la Ciudad de México, Clara Brugada, mientras que José Muñoz era asesor de la jefatura; ambos fueron atacados y perdieron la vida la mañana de este martes 20 de mayo.",1674420
26,2025-05-20,El Universal (sitio),Portales Nacionales,"¿Quiénes eran Ximena Guzmán y José Muñoz, funcionarios del gobierno de la CDMX asesinados en Calzada de Tlalpan?","La jefa de Gobierno, Clara Brugada, confirmó la mañana de este martes 20 de mayo, la muerte de Ximena Guzmán y de José Muñoz, ambos funcionarios del Gobierno de la Ciudad de México.",757666
27,2025-05-20,La Saga (AdelaMichaOf) Youtube,TV Paga,"Jimena Guzmán, ex secretaria particular de la Alcaldía Iztapalapa, trabajó en la administración pública de la Ciudad de México.","Jimena Guzmán, socióloga graduada de la UAM en 2006, desempeñó diversos cargos en la administración pública de la Ciudad de México. 
 
 En 2023, fue secretaria particular en la alcaldía Iztapalapa, encargándose de la atención directa al público. 
 
 Anteriormente, entre 2015 y 2018, trabajó en la Secretaría de Gobierno de la Ciudad de México como subdirectora de giras y reuniones de trabajo. 
 
 José Muñoz, coordinador de asesores de la jefa de gobierno, también formó parte de este equipo cercano. Se espera más información en la próxima conferencia de prensa.",1950000
28,2025-05-20,90.5 Imagen,Radio FM,"Resumen Informativo, Imagen Informativa Primera Emisión","- Jimena Guzmán, secretaria particular de la jefa de Gobierno de la Ciudad de México, y José Muñoz, asesor en seguridad, fueron asesinados en un ataque directo en Calzada de Tlalpan, cerca de la estación Metro Xola. La presidenta Claudia Sheinbaum confirmó los asesinatos y expresó su solidaridad con las familias afectadas, asegurando que se investigará a fondo para hacer justicia. Guzmán tenía una destacada trayectoria en el gobierno local, mientras que Muñoz participaba en reuniones del gabinete de seguridad. Las circunstancias del crimen aún están bajo investigación.
 
 - En otro incidente, el buque escuela Cuauhtémoc sufrió un accidente en Nueva York mientras era asistido por un remolcador y un capitán del puerto. El secretario de Marina, Raymundo Pedro Morales, señaló que es pronto para determinar las causas del accidente, que está siendo investigado por la Agencia de Seguridad del Transporte y la Guardia Costera. Dos cadetes permanecen hospitalizados en Nueva York, aunque se espera que sean dados de alta pronto. El accidente resultó en cuatro heridos de gravedad, de los cuales dos fallecieron. Las llamadas de la embarcación antes del accidente fueron para solicitar más remolcadores, no para pedir auxilio.",333718
29,2025-05-20,Milenio (sitio),Portales Nacionales,"Quién era Ximena Guzmán Cuevas, secretaria particular de Clara Brugada, que fue asesinada en la alcaldía Benito Juárez","La mañana de este 20 de mayo, autoridades de la Ciudad de México informaron que Ximena Josefina Guzmán Cuevas, secretaria particular de la jefa de Gobierno, Clara Brugada, perdió la vida durante una agresión directa en la colonia Moderna, alcaldía Benito Juárez.",199654
30,2025-05-20,Expansión MX,Portales Nacionales,China estrecha sus lazos comerciales con Latinoamérica en el gobierno de Trump,La guerra comercial emprendida por el presidente de Estados Unidos es el principal motivo por el que algunas de las principales economías de la región buscan acercarse al gigante asiático.,711000
31,2025-05-20,El Economista,Diario,Totalplay celebra al talento mexicano; estudiantes de la universidad Anáhuac Oaxaca representarán a latinoamérica en competencia global de Huawei,TOTALPLAY CELEBRA AL TALENTO MEXICANO: ESTUDIANTES DE LA UNIVERSIDAD ANÁHUAC OAXACA REPRESENTARÁN A LATINOAMÉRICA EN COMPETENCIA GLOBAL DE HUAWEI.,
32,2025-05-20,Al Chile Poblano PUE (Sitio),Portales Estatales,Silvia H. González fue recordada con un homenaje póstumo en la Ciudad de Puebla,*Parte de su legado pictórico hoy se conserva en el Museo Nacional de los Ferrocarriles Mexicanos,1776
33,2025-05-20,Eje Central (sitio),Portales Nacionales,"Blindado, probado y auditado, el sistema de cómputo del INE","En fechas recientes, algunos medios han puesto en duda la capacidad del sistema informático del Instituto Nacional Electoral (INE) para procesar los votos de la elección extraordinaria de cargos judiciales del próximo 1 de junio. Algunos, en tono alarmista, hablaron de la posibilidad de un supuesto ""colapso"" de una app que dicen podría tirar al piso el conteo de votos.",12043
34,2025-05-20,Imagen Poblana PUE (Sitio),Portales Estatales,Silvia H. González fue recordada con un homenaje póstumo,"La Secretaría de Cultura del Gobierno de México, a través del Museo Nacional de los Ferrocarriles Mexicanos (MNFM), en el marco del Día Internacional de los Museos, rindió un sensible homenaje póstumo al trabajo y trayectoria de la artista Silvia H. Gonzalez.",83900
35,2025-05-20,Diario Momento PUE (sitio),Portales Estatales,Silvia H. González fue recordada con un homenaje póstumo en la Ciudad de Puebla,*Parte de su legado pictórico hoy se conserva en el Museo Nacional de los Ferrocarriles Mexicanos,46200
36,2025-05-20,Eje Central,Diario,"Blindado, probado y auditado, el sistema de cómputo del INE para la elección judicial",EL SISTEMA DE CÓMPUTO DEL INE PARA LA ELECCIÓN JUDICIAL.,
37,2025-05-20,Criterio Hidalgo (Sitio),Portales Estatales,"En Ixmiquilpan, dan continuidad a restauración de puente de piedra","La diputada Cynthia Delgado Mendoza informó que se reunió con el titular del Instituto Nacional de Antropología e Historia (INAH), Osvaldo Sterpone, para dar continuidad al proyecto Camino Real de Ixmiquilpan, que comprende la restauración del puente de piedra ubicado en el barrio Progreso.",24959
38,2025-05-20,Milenio (sitio),Portales Nacionales,Centros Públicos de Investigación defienden su Contrato Colectivo de Trabajo,"""Cuando a la UNAM, a la UAM y la Universidad Autónoma de Chapingo sus autoridades concretan el aumento salarial del 4% y el 2% a prestaciones, a principios de este año, a los Centros Públicos de Investigación, que estamos en proceso de revisión del Contrato Colectivo del Trabajo (CCT), los directores nos dicen que la Secretaría de Hacienda ya no va autorizar más prestaciones y no hay más que firmar, aseveró en exclusiva, el doctor Yanga Villagómez Velázquez, secretario general del sindicato de Trabajadores de El Colegio de Michoacán (SITRACOLMICH).",199654
39,2025-05-19,Crónica de Puebla (sitio),Portales Estatales,BUAP prepara edición 38 de la Feria Nacional del Libro,Se llevará a cabo del 30 de mayo al 8 de junio en el edificio Carolino,21700
40,2025-05-19,UAM CDMX (Sitio),Portales Estatales,La UAM transforma el conocimiento en soluciones reales,Número 289,4000
41,2025-05-19,UAM CDMX (Sitio),Portales Estatales,"Más movilidad, más cooperación: la UAM crece en el ámbito internacional",Número 288,4000
42,2025-05-19,La Izquierda Diario (Sitio),Portales Estatales,"Solidaridad Internacionalista. ¡Palestina escucha, la CNTE está en tu lucha!","Como parte de las acciones de lucha convocadas por la Coordinadora Nacional de Trabajadores de la Educación (CNTE) en el marco de la convocatoria a Huelga Nacional, este domingo 18, maestras y maestros de diferentes secciones y estados participaron en la movilización de la CDMX, organizada junto a colectivos y estudiantes en solidaridad con el pueblo de Palestina.",1300000
43,2025-05-19,Serzen (Sitio),Portales Nacionales,"Semana botánica de la UAM: conferencias, invitados y todo sobre el evento","La Semana Botánica de la UAM es un evento organizado por el Herbario Metropolitano y el Departamento de Biología de la Universidad Autónoma Metropolitana, unidad Iztapalapa, la cual se llevará a cabo del 19 al 23 de mayo de 2025.",4000
44,2025-05-19,MSN Noticias EU (sitio),Portales Estatales,¿Cuáles son los promedios necesarios para el Pase UAM 2025?,"La Universidad Autónoma Metropolitana ( UAM ) ya compartió su convocatoria para el Pase UAM 2025 , el cual los estudiantes del Colegio de Bachilleres ( Colbach ) podrán tener un mecanismo de acceso directo, siempre y cuando cumplan con los requisitos necesarios, como el promedio.",1900000
45,2025-05-19,Canal 21 Capital 21,TV Paga,El Pase UAM permitirá a estudiantes del Colegio de Bachilleres ingresar a la UAM sin examen de selección.,"La Universidad Autónoma Metropolitana (UAM) y el Colegio de Bachilleres han establecido un convenio para reconocer el desempeño académico de los estudiantes de nivel medio superior, implementando el Pase UAM. Este programa permitirá a los estudiantes con un promedio igual o superior a ocho y un historial académico destacado acceder a 57 de las 84 carreras ofrecidas por la UAM sin necesidad de un examen de selección. 
 
 Los estudiantes deberán completar sus estudios de bachillerato antes del 27 de junio de 2025, mantener un promedio de ocho y no tener asignaturas reprobadas. 
 
 El proceso de admisión para 2025 incluirá el registro de solicitudes del 20 de mayo al 3 de junio, la publicación de estudiantes preaceptados el 14 de junio y el inicio de clases el 1 de octubre. 
 
 Actualmente, 11,380 estudiantes del Colegio de Bachilleres cumplen con los requisitos para el Pase UAM, lo que se espera que tenga un impacto positivo en el acceso a la educación superior. 
 
 Eric Pinto, Informe Capital.",25000
46,2025-05-19,Expansión MX,Portales Nacionales,"Wikipedia crece en tráfico y contenido, gracias a ChatGPT","El sitio alcanzó casi 6.79 mil millones de visitas en marzo de 2025, impulsado por el uso intensivo de la IA generativa tanto por usuarios, como por editores humanos.",711000
47,2025-05-19,El Heraldo de México (sitio),Portales Nacionales,Pase UAM 2025 para estudiantes del Colbach: promedio y requisitos para participar,"La Universidad Autónoma Metropolitana (UAM) lanzó oficialmente la convocatoria para el Pase UAM 2025, un programa que permite a estudiantes destacados del Colegio de Bachilleres (Colbach) ingresar directamente a una de sus 57 licenciaturas sin presentar el examen de admisión.",1674420
48,2025-05-19,Noticiero en Redes CHIS (Sitio),Portales Estatales,Bosque de Tláhuac celebra su primer año como Área Natural Protegida con inversión y participación comunitaria,"Con motivo del primer aniversario del Bosque de Tláhuac como Área Natural Protegida (ANP) y en el marco del Día Mundial de las Aves Migratorias, la Secretaría del Medio Ambiente (SEDEMA) capitalina, en coordinación con la Alcaldía Tláhuac, organizó el Festival Ambiental ""Bosque de Tláhuac: Bosque vivo, aves libres"", una jornada que destacó la importancia ecológica y social de este espacio natural.",4000
49,2025-05-19,Generación Universitaria CDMX (sitio),Portales Estatales,¿Qué escuelas tienen pase directo a la UAM?,"Hace un par de días la Universidad Autónoma Metropolitana abrió su convocatoria Pase UAM, una opción para que estudiantes ingresen al nivel superior sin necesidad de un examen de admisión.",196200
50,2025-05-19,N+ CDMX (sitio),Portales Estatales,Científicos Mexicanos Clonan con Éxito un Borrego: Así Fue el Avance de la UAM Xochimilco,Científicos mexicanos lograron lograron un hito: la clonación exitosa de un borrego mediante transferencia nuclear de células somáticas. Este avance posiciona a México entre los pocos países de América Latina con capacidad científica para replicar genéticamente un mamífero a partir de una célula adulta.,564000
51,2025-05-19,Expansión MX,Portales Nacionales,¿Cuáles son los promedios necesarios para el Pase UAM 2025?,"La UAM implementará un pase automático para los egresados del Colegio de Bachilleres, pero para acceder a algunas carreras deberán cumplir con un promedio mínimo.",711000
52,2025-05-19,EDT Estado del Tiempo MX (sitio),Portales Nacionales,Celebran aniversario del Bosque de Tláhuac con festival ambiental y educación ecológica comunitaria,"Ciudad de México.- El Bosque de Tláhuac conmemoró su primer aniversario como Área Natural Protegida con el Festival Ambiental ""Bosque vivo, aves libres"", organizado por la Secretaría del Medio Ambiente (SEDEMA) de la Ciudad de México y la Alcaldía Tláhuac.",10100
53,2025-05-19,MG Noticias QRO (sitio),Portales Estatales,¿Has oído hablar de la contaminación lumínica y cómo te puede afectar?,"Sopitas.- Sí, desde que se patentó la bombilla eléctrica por Thomas Edison en 1879 la especie humana dio salto cuántico evolutivo sin precedente, sin embargo, ¿se nos pasó la mano con la contaminación lumínica?",23400
54,2025-05-19,Líderes Mexicanos,Revistas Mensuales,Jorge Urbano #SOUND:CHECK XPO,"Jorge, Director General de Sound: check Xpo y de Musitech Ediciones y Eventos, fundó la compañía en 1998, pero su pasión por la música viene de su familia, su mamá lloraba con cualquier canción de José Alfredo Jiménez o de Agustín Lara. A los 15 años hizo su primera fiesta con su propio luz y sonido y, poco a poco, lo contrataron para unos 15 años y luego para otros, por lo que pudo comprar más equipo, discos y luces para seguir ese camino.",
55,2025-05-19,ContraRéplica SLP (sitio),Portales Estatales,Científicos de la UNAM crean dispositivo nanotecnológico para tratar el párkinson,"Un equipo de investigadores de la Universidad Nacional Autónoma de México (UNAM) ha desarrollado un innovador dispositivo nanotecnológico que podría transformar el tratamiento de la enfermedad de Parkinson. El aparato, diseñado para transportar dopamina de forma precisa al cerebro, representa un avance significativo en la búsqueda de terapias más eficaces para esta condición neurodegenerativa.",12300
56,2025-05-19,Canal 4 N+Foro TV,TV Abierta,"En entrevista, Eduardo José Torres Maldonado, candidato a la SCJN, habló sobre su preparación.","En entrevista, Eduardo José Torres Maldonado, candidato a ministro de la Suprema Corte de Justicia de la Nación, se presentó como filósofo humanista, licenciado en Derecho constitucionalista y especialista en amparo. Con 45 años de experiencia como profesor e investigador, y con un historial en el sector público y privado, Torres Maldonado enfatiza su compromiso con los derechos humanos y la justicia constitucional social. 
 
 Argumenta que las decisiones judiciales deben basarse tanto en la ley como en el sentir social, destacando la importancia de atender a todos los sectores de la sociedad, especialmente a los más vulnerables. Critica el neoliberalismo judicial y aboga por una Suprema Corte que priorice la justicia junto con el derecho, rechazando la idea de que estas dos dimensiones estén en conflicto. Torres Maldonado defiende una visión integral que respete la soberanía del pueblo y promueva un estado de bienestar.",432000
57,2025-05-19,Los Tubos NL (sitio),Portales Estatales,A cien años de Emilio Carballido,"A cien años del nacimiento de aquel ""muchacho genial, flaco, nervioso, de ojos asustados"", como describió Salvador Novo al narrador, guionista, maestro y dramaturgo Emilio Carballido Fentanes (Orizaba, 1925-Xalapa, 2008), pervive el reconocimiento nacional e internacional a su obra y su trabajo como maestro, autor de obras para actores jóvenes y editor de dramaturgos noveles, al tiempo en que resuena como un murmullo la polémica en torno a su feroz defensa del dramaturgo y su texto como elementos rectores del teatro. Su prolífica y variada obra publicada y puesta en escena; sus personajes que se salvan o se hunden ante lectores y público, entre risas, llanto, sueños y tomas de conciencia, en obras realistas, fantásticas, históricas, o poéticas, que combinaron géneros y estilos, tuvieron su despegue con el exitoso estreno de Rosalba y los llaveros en el Palacio de Bellas Artes, en 1950, cuando tenía 25 años; publica MILENIO.",6400
58,2025-05-19,MOR Lo de Hoy,Prensa Estatal,Designan nuevo titular de Fiscalía Federal en Morelos,"La Fiscalía General de la República, a través de la Fiscalía Especializada de Control Regional (FECOR), designó a Ulises Lara López, como nuevo Fiscal Federal en Morelos; en sustitución del abogado Hugo Bello Ocampo.",
59,2025-05-19,Al Momento MX (sitio),Portales Estatales,Celebran aniversario del Bosque de Tláhuac con festival ambiental y educación ecológica comunitaria,"El Bosque de Tláhuac conmemoró su primer aniversario como Área Natural Protegida con el Festival Ambiental ""Bosque vivo, aves libres"", organizado por la Secretaría del Medio Ambiente (SEDEMA) de la Ciudad de México y la Alcaldía Tláhuac.",82600
60,2025-05-19,EDT Estado del Tiempo MX (sitio),Portales Nacionales,Celebran aniversario del Bosque de Tláhuac con festival ambiental y educación ecológica comunitaria,"Ciudad de México.- El Bosque de Tláhuac conmemoró su primer aniversario como Área Natural Protegida con el Festival Ambiental ""Bosque vivo, aves libres"", organizado por la Secretaría del Medio Ambiente (SEDEMA) de la Ciudad de México y la Alcaldía Tláhuac.",10100
61,2025-05-19,Punto crítico CDMX (Sitio),Portales Estatales,Conmemoran aniversario del Bosque de Tláhuac como Área Natural Protegida,"México, 19 de mayo 2025 ::: La Secretaría del Medio Ambiente (SEDEMA) en conjunto con la Alcaldía organizó el Festival Ambiental",19700
62,2025-05-19,El Economista (sitio),Portales Nacionales,Totalplay celebra al talento mexicano: estudiantes de la Universidad Anáhuac Oaxaca representarán a Latinoamérica en competencia global de Huawei,"La Unidad Empresarial y de Gobierno de Totalplay se enorgullece en reconocer y felicitar a un grupo de jóvenes mexicanos que están llevando el talento nacional al escenario mundial. En su compromiso por impulsar la innovación y el desarrollo tecnológico en México, Totalplay reafirma su apoyo a la educación y al talento nacional, contribuyendo activamente a la formación de futuros lideres en el ámbito de las tecnologías de la información.",318000
63,2025-05-19,El Imparcial de Oaxaca OAX (sitio),Portales Estatales,Crónicas de Oaxaca: La autonomía universitaria,"El día de ayer se iniciaron los actos conmemorativos al 23 de mayo de 1929, que va del 18 al 23 de mayo de este año del 2025, un excelente programa que establece que llegó a ser la Semana del Estudiante aquí en Oaxaca, lo organiza coordinadamente la UABJO, la Facultad de Medicina, ya que este año le corresponde a Enfermería y la Asociación Civil Generación 60, que preside el activo y preciado L.A.B. Miguel Ángel Moreno Tello.",114892
64,2025-05-19,Sopitas (sitio),Portales Nacionales,¿Has oído hablar de la contaminación lumínica y cómo te puede afectar?,Hoy sabemos que el exceso de luz es considerado un contaminante más que afecta no sólo la salud humana.,2700000
65,2025-05-19,Yo Influyo CDMX (sitio),Portales Nacionales,Esperanza para el Parkinson desde la nanotecnología,Una innovadora investigación realizada por académicos de la UNAM y la UAM-X podría revolucionar el tratamiento de la enfermedad de Parkinson mediante la nanotecnología.,15300
