Fecha,Medio,Título,Resumen
2025-06-12,Revista Sin Recreo VER (sitio),Siguen las renuncias en la JUNTA DE GOBIERNO de la UV,De la Redacción
2025-06-12,Hora Cero VER (sitio),"En crisis, la servil JG-UV / Raymundo Jiménez",Raymundo Jiménez / Al pie de la letra
2025-06-12,Diario del Istmo VER (sitio),"EN CRISIS, LA SERVIL JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
2025-06-12,Quadratín VER (sitio),Raymundo Jiménez/Al pie de la letra,"Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
2025-06-12,Política al Día VER (Sitio),"En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
2025-06-12,Entorno Político VER (sitio),"En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
2025-06-12,Crónica del Poder VER (Sitio),Renuncia de integrante de Junta de Gobierno UV agudiza crisis institucional: LJV,"La doctora María Angélica Buendía Espinosa, investigadora de la UAM y Secretaria de la Unidad Xochimilco, presentó su renuncia a la Junta de Gobierno de la UV hace un par de días, en un claro deslinde del proceder del órgano colegiado, al que señaló como objeto de presiones internas. La renuncia de Buendía ocurre en medio de un clima de creciente tensión en la UV, tras la solicitud de prórroga solicitada por el rector Martín Aguilar ante la Junta de Gobierno. La nota y foto es «La Jornada Veracruz» que dirige Tulio Moreno.. La Junta de Gobierno no hizo pública esta renuncia.."
2025-06-11,Pateando Ler Veracruz VER (Sitio),Renuncia en la Junta de Gobierno de la UV agudiza crisis institucional,Por La Redacción - La Jornada Veracruz
2025-06-11,La Jornada de Veracruz VER (sitio),Hasta que la dignidad nos devuelva la vergüenza,Dra. Rosío Córdova PlazaInvestigadora Nacional Emérita
2025-06-11,98.5 El Heraldo Radio,"En la Ciudad de México se prevén marchas y lluvias fuertes, se recomienda tomar precauciones.","En la Ciudad de México se anticipa un día de lluvias intensas, lo que ha llevado a las autoridades a recomendar precauciones, especialmente en vías rápidas como el Periférico. 
 
 Además, se prevé la realización de varias marchas, entre las que destacan la de la Nueva Asamblea Nacional de Usuarios de Energía Eléctrica en Reforma y la CFE, la Asamblea Ecologista Popular en el Metro Polanco, y una manifestación en apoyo a Gaza. 
 
 El Colectivo de Enfermeras del Sanatorio Trinidad ha denunciado despidos injustificados y el incumplimiento de liquidaciones. 
 
 Estudiantes de medicina de la UNAM han solicitado la revisión de exámenes con inconsistencias, mientras que trabajadores de la Ruta 100 reclaman pagos pendientes del fideicomiso F 100. 
 
 Padres de familia de Xochimilco piden mantenimiento y remodelación en la Primaria Grecia, y se han registrado protestas visuales en apoyo a Palestina en la UAM. 
 
 Ante esta situación, se hace un llamado a la ciudadanía para que tome precauciones y respete la vialidad de los demás."
2025-06-11,La Jornada de Veracruz VER (sitio),Renuncia en la Junta de Gobierno de la UV agudiza crisis institucional,"Xalapa, Ver. La doctora María Angélica Buendía Espinosa, profesora-investigadora de la Universidad Autónoma Metropolitana (UAM) y secretaria de la Unidad Xochimilco, presentó su renuncia a la Junta de Gobierno de la Universidad Veracruzana (UV) hace un par de días, en un claro deslinde del proceder del órgano colegiado, al que señaló como objeto de presiones internas. Su salida se suma a las renuncias previas de los doctores Alfredo Sánchez Castañeda, Hugo Casanova y Erika Maldonado, quienes abandonaron la Junta entre 2023 y 2025, todas durante el actual periodo rectoral de Martín Aguilar Sánchez."
2025-06-11,El Gráfico (Sitio),"TRÁFICO en la CDMX HOY miércoles 11 de junio: ¿Dónde habrá bloqueos, marchas y manifestaciones?","Eventos culturales de la noche:
 
 El Rey León, 20:00 h Teatro Telcel, colonia Granada."
2025-06-11,Excélsior (Sitio),Marchas y protestas HOY en CDMX ¿por dónde circular y por dónde no?,Esta mitad de semana se esperan diversas marchas y manifestaciones en la Ciudad de México que seguro afectarán la movilidad. Conoce rutas alternativas para evitar congestionamientos y llegar a tu destino sin contratiempos.
2025-06-11,La Prensa (Sitio),Este miércoles 11 de junio se esperan 9 manifestaciones en la CDMX,"Dos marchas y 7 manifestaciones se prevén este miércoles 11 de junio en la CDMX, además se espera ambiente caluroso con cielo mayormente nublado; se pronostican lluvias fuertes durante esta tarde-noche y parte de la madrugada del jueves. Pueden presentarse fuertes rachas de viento."
2025-06-11,Uno TV Noticias (Sitio),"Movilizaciones en CDMX, hoy 11 de junio: marchas y concentraciones",La Ciudad de México (CDMX) espera este martes 10 de junio múltiples movilizaciones sociales que podrían generar afectaciones viales.
2025-06-11,News Report MX (Sitio),Manifestaciones hoy en CDMX 11 de junio del 2025,¡Toma precauciones! Checa dónde y a qué hora habrá Marchas y Manifestaciones hoy en CDMX 11 de junio de 2025
2025-06-11,Publimetro (sitio),¡Evita contratiempos! Alternativas viales por marchas el miércoles 11 de junio en CDMX,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-11,López Dóriga (Sitio),Marchas 11 de junio en CDMX: vías afectadas y rutas alternas,Este miércoles 11 de junio se esperan 9 marchas y concentraciones en la Ciudad de México
2025-06-11,La Jornada,"Relevo en la rectoría de la UAM, en riesgo de pactarse tras bambalinas: académica","A pocos días de comenzar el proceso de renovación de la rectoría en la Universidad Autónoma Metropolitana (UAM), la doctora Noemí Luján Ponce, profesora investigadora del Departamento de Relaciones Sociales de la Unidad Xochimilco, sostuvo que el cambio ""corre el riesgo de resolverse tras bambalinas y al margen de la comunidad""."
2025-06-10,La Jornada (sitio),"Sucesión en Rectoría de la UAM, al margen de la comunidad, advierte académica","La UAM se encuentra en proceso de renovación de la Rectoría, por lo que investigadores piden que la decisión no se tome tras bambalinas. Foto Cuartoscuro / Archivo"
2025-06-10,UAM CDMX (Sitio),"Fortalecer calidad de oferta educativa e interdisciplina, retos de la nueva administración en la Unidad Cuajimalpa - Boletines","Mauricio Sales Cruz, rector de esa sede, fue entrevistado en Voces de la UAM, programa que transmite la radiodifusora de esta casa de estudios"
2025-06-10,Diario de México (sitio),Marchan para conmemorar aniversario del Halconazo; avanzan rumbo al Zócalo,"Este martes 10 de junio, a las 16:00 horas, inició en la Ciudad de México la marcha conmemorativa por el 54 aniversario de la Matanza del Jueves de Corpus, también conocida como el Halconazo, considerada una de las represiones estudiantiles más graves en la historia del país."
2025-06-10,México-times CDMX (sitio),"Sucesión en Rectoría de la UAM, al margen de la comunidad, advierte académica","Ciudad de México. La sucesión en la Rectoría General de la Universidad Autónoma Metropolitana (UAM) ""corre el riesgo de resolverse tras bambalinas y al margen de la comunidad, aseguró la doctora Noemí Luján Ponce, profesora investigadora del Departamento de Relaciones Sociales de la Unidad Xochimilco de la UAM."
2025-06-10,UAM CDMX (Sitio),"Implementa UAM ¡Todavía se puede!, para fomentar titulación en egresados",Dirigido a quienes concluyeron su licenciatura de la División de Ciencias Sociales y Humanidades de la Unidad Xochimilco entre 2015 y 2020
2025-06-10,ContraRéplica CDMX (Sitio),Marcha por el 'Halconazo' en CDMX: Horario y Ruta del 10 de Junio,"Este martes 10 de junio de 2025 se llevará a cabo una movilización en la Ciudad de México con motivo del 54 aniversario de la ""Matanza del Jueves de Corpus o Halconazo"", considerada una de las represiones estudiantiles más significativas en la historia del país.La marcha, organizada por el Comité 68 Prolibertades Democráticas, está programada para iniciar a las 16:00 horas. Se espera una participación aproximada de mil 500 personas. El recorrido comenzará en la estación Normal de la Línea 2 del Metro, ubicada en la calzada México-Tacuba, en la alcaldía Miguel Hidalgo, y concluirá en el Zócalo capitalino, en la alcaldía Cuauhtémoc.Según la Secretaría de Seguridad Ciudadana (SSC) de la Ciudad de México, los manifestantes se movilizarán en demanda de ""verdad, justicia y la memoria popular"", y en ""conmemoración del 54 Aniversario de la Matanza del Jueves de Corpus/Halconazo, ocurrida el 10 de junio de 1971"".Además, se sumarán a la jornada agrupaciones como el Comité de Lucha de la Escuela Superior de Economía del IPN, el Taller Ecosocialista y Ecofeminista de la Prepa No. 6, la Plataforma Común por Palestina, la Unión de Lucha Vecinal del Valle de Anáhuac, estudiantes de la UAM Xochimilco y Juventud Revolucionaria (GAR).La SSC también señaló que podrían integrarse ""colectivos con perfil anarquista y feministas que realicen pintas durante el desarrollo de la marcha"", por lo que se recomienda a la ciudadanía tomar precauciones, planear sus traslados con anticipación y considerar vías alternas para evitar contratiempos."
2025-06-10,Canal 8.1 Heraldo TV,"En entrevista, Arturo Carmona, actor y productor, discute su innovador proyecto teatral ""Alta traición"".","En entrevista, Arturo Carmona, actor y productor, habló sobre su reciente proyecto teatral ""Alta traición"". La obra, que se desarrolla en un escenario de 360 grados, aborda el hartazgo social en México y busca generar conciencia sobre la situación actual del país. 
 
 Carmona explicó que la obra no es comercial, sino experimental, y se presenta de manera invasiva, permitiendo al público vivir la experiencia de cerca. Aunque hubo controversia en una rueda de prensa debido a un ejercicio de secuestro simulado, Carmona aclaró que el mensaje principal de la obra se está transmitiendo efectivamente. 
 
 Los actores principales incluyen a Cristian de la Fuente, Julio Camejo, Pedro Moreno, René Dupeirón y Silverio Rocci. Carmona interpreta a Ezequiel, un estudiante de psicología y dueño de una cafetería, mientras que Pedro Moreno interpreta a Rafael, un joven de una familia acomodada. 
 
 Carmona enfatizó la importancia de reflexionar sobre la realidad que se vive diariamente y cómo la obra invita al público a tomar conciencia de su entorno. ""Alta traición"" se presenta en la nueva sala Broadway del Centro Cultural Manolo Fábregas, con funciones los viernes, sábados y domingos."
2025-06-10,Eje Central (sitio),Manifestaciones hoy martes 10 de junio en CDMX: ¿Dónde y a qué hora habrá marchas y bloqueos?,"Este lunes 10 de junio se esperan diversas marchas, concentraciones y rodadas ciclistas en la Ciudad de México. Las movilizaciones tienen como objetivo conmemorar fechas históricas, realizar demandas laborales o expresar inconformidades sociales. Estas actividades pueden generar afectaciones en vialidades principales de la capital."
2025-06-10,Pasantes DF CDMX (Sitio),Éstos son los mexicanos en riesgo de perder la visa de EU por médicos cubanos,"CIUDAD DE MÉXICO (Proceso).- De aplicarse en México la restricción de visas a Estados Unidos que anunció su secretario de Estado, Marco Rubio, contra funcionarios de gobiernos de Centroamérica que han contratado a médicos cubanos, integrantes del gabinete de la presidenta Claudia Sheinbaum Pardo, de su equipo de trabajo cuando estuvo al frente del gobierno de la Ciudad de México; así como del gobierno de su antecesor, Andrés Manuel López Obrador, podrían estar en la mira para no poder viajar al vecino país del norte."
2025-06-10,López Dóriga (Sitio),Marchas 10 de junio en CDMX: vías afectadas y rutas alternas,Este martes 10 de junio se esperan 11 marchas y concentraciones en la Ciudad de México
2025-06-10,Proceso (sitio),Éstos son los mexicanos en riesgo de perder la visa de EU por médicos cubanos,"CIUDAD DE MÉXICO (Proceso).- De aplicarse en México la restricción de visas a Estados Unidos que anunció su secretario de Estado, Marco Rubio, contra funcionarios de gobiernos de Centroamérica que han contratado a médicos cubanos, integrantes del gabinete de la presidenta Claudia Sheinbaum Pardo, de su equipo de trabajo cuando estuvo al frente del gobierno de la Ciudad de México; así como del gobierno de su antecesor, Andrés Manuel López Obrador, podrían estar en la mira para no poder viajar al vecino país del norte."
2025-06-10,Otras Voces en Educación MX (sitio),La CNTE deja el Zócalo,La CNTE deja el Zócalo
2025-06-09,Milenio (sitio),Contratenor Héctor Sosa recuerda a las grandes voces de México,"El contratenor, académico, musicólogo y productor operístico, Héctor Sosa, renueva sus votos con la difusión de grandes voces de México y retoma su serie de conferencias anuales este lunes 9 de junio."
2025-06-09,Somos Comunidad CDMX (sitio),Gestión de residuos: un desafío colectivo en tiempos complejos,Por: Cecilia Perezgasga Ciscomani
2025-06-09,UAM CDMX (Sitio),Arranca el Mes de los de la Casa en la Unidad Lerma de la UAM,"La iniciativa fortalece el sentido de pertenencia y compromiso dentro de nuestra comunidad, afirmó Gabriel Soto Cortés, rector de la Unidad Lerma"
2025-06-09,ES El País,La saturación del sistema público aboca a más de la mitad de los mexicanos a la salud privada,"Después de consultar a dos especialistas, asistir a cinco consultas y pagar dos rondas de laboratorios privados, Georgina Sánchez aún no tiene diagnóstico, pero sí 15.000 pesos menos. Su caso no es aislado. Según los resultados de la última Encuesta Nacional de Salud y Nutrición, el 54% de la población en México acude a servicios médicos privados, ya sea por la saturación del sector público o por la falta de acceso a este. La falta de regulación de este mercado permite que algunas clínicas establezcan tarifas elevadas sin justificación clara."
2025-06-09,Poder EDO.MEX (sitio),Abrieron convocatoria para elegir al nuevo Rector General de la UAM,"La Junta Directiva de la Universidad Autónoma Metropolitana (UAM) ha abierto el proceso de selección para la persona que ocupará la Rectoría General durante el periodo 2025-2029, en cumplimiento de la Ley Orgánica de la Universidad y su Reglamento, dado que el próximo 3 de julio de 2025 concluirá la gestión del actual Rector General, doctor José Antonio De los Reyes Heredia."
2025-06-08,SDP Noticias (sitio),Grandes voces de la ópera en México,El canto clásico en México
2025-06-07,La Jornada Zacatecas ZAC (sitio),La CNTE deja el Zócalo,Por: Hugo Aboites*
2025-06-07,EDO.MEX Milenio Edo. México,Así eligen a su Rector las 10 mejores universidades del país,"Las diferencias son arraigadas en el ejercicio de los recursos, la matrícula de estudiantes yen el ranking de las instituciones educativas, pero todas ellas cuentan con elecciones similares."
2025-06-07,La Jornada,La CNTE deja el Zócalo,La CNTE deja el Zócalo
2025-06-07,La Jornada (sitio),La CNTE deja el Zócalo,Es una equivocación del gobierno de Claudia Sheinbaum asumir que ha triunfado porque la Coordinadora Nacional de Trabajadores de la Educación (CNTE) se retira del Zócalo. Foto Jair Cabrera Torres
2025-06-06,88.9 Noticias,Día Mundial de la Inocuidad Alimentaria: Reflexiones sobre la seguridad alimentaria y la prevención de enfermedades.,"En el marco del Día Mundial de la Inocuidad de los Alimentos, especialistas de la Universidad Autónoma Metropolitana (UAM) hacen un llamado a prevenir enfermedades transmitidas por alimentos y reducir el desperdicio. 
 
 El maestro Rafael Díaz, del departamento de atención a la salud de la UAM, destaca la importancia de la ciencia en garantizar que los alimentos lleguen en buen estado y se consuman adecuadamente. 
 
 Según la FAO y la OMS, más de 600 millones de personas sufren afecciones transmitidas por alimentos anualmente, lo que representa el 10% de la población mundial. 
 
 En México, el Instituto Nacional de Estadística y Geografía reporta que en 2022, cerca de 20,000 personas fallecieron por padecimientos infecciosos y parasitarios. 
 
 El maestro Díaz subraya el papel crucial de la ciencia en garantizar la inocuidad y seguridad alimentaria, desde la producción hasta el consumo."
2025-06-06,Heraldo Binario CDMX (sitio),UAM busca nueva titular de rectoría: requisitos y fechas clave para participar,"Ante el fin de la gestión del doctor José Antonio De los Reyes Heredia como rector general de la Universidad Autónoma Metropolitana (UAM), la casa de estudios lanzó la convocatoria para nombrar a la persona que este al frente de esta institución educativa."
2025-06-06,Excélsior (Sitio),Viernes de 'locos' en tema de vialidad en CDMX ¡Aquí alternativas viales!,"Estudiantes liberaron la Avenida Insurgentes con dirección al norte, en tanto Paseo de la Reforma sigue cerrado, pero no es la única afectación en la Ciudad de México este viernes 6 de junio, hay varias MOVILIZACIONES lo que traerá afectaciones viales en varias alcaldías. A continuación, las más relevantes:"
2025-06-06,El Gráfico (Sitio),Tráfico CDMX HOY viernes 6 de junio ¿Qué marchas y eventos paralizarán la ciudad?,"Ya es viernes y las movilizaciones de los maestros continúan, aunque han perdido fuerza, pero para que no tengas contratiempos en tus traslados acá te dejamos la agenda de día y llegues bien a tus actividades."
2025-06-06,88.9 Noticias,"Cada año, millones de personas se enferman por consumir alimentos contaminados, advierte experto.","Rafael Díaz García, del departamento de Atención de Salud de la UAM Xochimilco, advirtió sobre el riesgo de consumir alimentos contaminados, destacando que anualmente millones de personas se enferman a nivel mundial. 
 
 En México, la situación es similar, con datos de la FAO y la OMS revelando que enfermedades bacterianas como la salmonelosis, listeriosis y E. Coli han causado 420,000 muertes. 
 
 Díaz García enfatizó la importancia de la manipulación adecuada de alimentos, especialmente mariscos, carnes y pescados, para prevenir enfermedades graves. 
 
 Mientras algunos alimentos, como las frutas, pueden consumirse crudos sin riesgo, otros requieren de un lavado adecuado."
2025-06-06,Por la Libre EDOMEX (sitio),Marchas 6 de junio: vías afectadas y rutas alternas,"Este viernes 6 de junio se esperan 8 marchas y concentraciones en la Ciudad de México, que afectarán diversas vialidades, con lo que se exhorta a extremar precauciones."
2025-06-06,La Prensa (Sitio),Se registrarán 7 manifestaciones en la CDMX,"Una marcha y 6 concentraciones se esperan en la CDMX, tendremos ambiente caluroso con cielo parcialmente nublado a nublado, existen condiciones limitadas para lluvias ligeras en el sur y poniente de la capital del país, Pueden presentarse fuertes rachas de viento."
2025-06-06,Tribuna Sonora SON (Sitio),Tráfico en CDMX: Se espera caos por marchas y bloqueos este 6 de junio en la capital,"Ciudad de México.- Se espera tráfico en CDMX para este 6 de junio, debido a las diferentes marchas, bloqueos y movilizaciones que se tienen programadas durante el día en la capital, sobre todo en la alcaldía Cuauhtémoc y Coyoacán. Es por ello que las autoridades de la Ciudad de México piden a los automovilistas tomar las precauciones necesarias para no quedar varados en los embotellamientos, así como utilizar alternativas viales."
2025-06-06,Publimetro (sitio),¡Viernes de bloqueos! CNTE y más colectivos paralizan puntos clave de CDMX,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-06,Ovaciones (sitio),Marchas en la CDMX 6 de junio de 2025: ¿Dónde y a qué hora habrá movilizaciones?,"Este viernes 6 de junio de 2025, se tienen programadas diversas marchas y concentraciones en la Ciudad de México, por lo que se recomienda a la ciudadanía tomar precauciones y mantenerse informada en tiempo real sobre los puntos de afectación, horarios y rutas de las movilizaciones. Estas actividades pueden ocasionar bloqueos viales, alteraciones al transporte y presencia policial."
2025-06-06,Eje Central (sitio),Manifestaciones hoy viernes 6 de junio en CDMX: ¿Dónde y a qué hora habrá marchas y bloqueos?,"Este viernes 6 de junio de 2025, la Ciudad de México será escenario de múltiples marchas, protestas y concentraciones, algunas con gran afluencia, que podrían generar afectaciones viales a lo largo del día. De acuerdo con el informe de la Secretaría de Seguridad Ciudadana (SSC-CDMX), las actividades se desarrollarán en distintas alcaldías, encabezadas por la CNTE, trabajadores del Poder Judicial, colectivos feministas, estudiantiles y organizaciones civiles."
2025-06-06,Uno TV Noticias (Sitio),"Movilizaciones en CDMX, hoy 6 de junio: marchas y concentraciones",La Ciudad de México (CDMX) espera este 6 de junio múltiples movilizaciones sociales que podrían generar afectaciones viales.
2025-06-06,López Dóriga (Sitio),Marchas 6 de junio: vías afectadas y rutas alternas,"Este viernes 6 de junio se esperan 8 marchas y concentraciones en la Ciudad de México, mientras sigue cerrado Insurgentes y Reforma"
2025-06-06,Miradas (sitio),Alertan por los males que ocasionan alimentos en mal estado 88.9 Noticias,"Rafael Díaz García, del Departamento de Atención a la Salud de la UAM Xochimilco, dijo que cada año, millones de personas en el mundo enferman por consumir comida contaminada, y México no es la excepción, de acuerdo con datos de las organizaciones de las Naciones Unidas para la Alimentación y la Agricultura y Mundial de la Salud, males bacterianos como la salmonelosis, la listeriosis o infecciones por E. coli, han causado la muerte a 420 mil personas."
2025-06-06,La Jornada AGS (sitio),Tendencias en la renta de departamentos en CDMX: por qué el sur y el norte concentran la demanda,"La Ciudad de México es un territorio amplio y diverso, donde cada zona tiene su propio ritmo, dinámica y características habitacionales. En los últimos años, la renta de vivienda ha evolucionado con nuevas prioridades para quienes buscan establecerse en la capital. Uno de los fenómenos más visibles ha sido el aumento sostenido de la demanda tanto en el sur como en el norte de la ciudad. Las búsquedas y contratos relacionados con Departamentos en renta en Coyoacán, así como en zonas de la alcaldía Gustavo A. Madero, se han intensificado, y no es casualidad."
2025-06-05,MexNewz Digital (Sitio),Maestros rechazarán propuesta del gobierno sobre pensiones; sólo es un parche: analista,"Gustavo Leal, especialista en política pública, considera que las propuestas de la Presidencia de congelar la edad de jubilación y ""completar"" la cantidad que pueden recibir los trabajadores con el Fondo de Pensiones del Bienestar son insuficientes para atender la demanda de la CNTE."
2025-06-05,Somos el Medio (sitio),Carta de apoyo a la lucha por las pensiones que encabeza la Coordinadora Nacional de Trabajadores de la Educación,"México, junio de 2025"
2025-06-05,88.9 Noticias (Sitio),Alertan por los males que ocasionan alimentos en mal estado,"Rafael Díaz García, del Departamento de Atención a la Salud de la UAM Xochimilco, dijo que cada año, millones de personas en el mundo enferman por consumir comida contaminada, y México no es la excepción, de acuerdo con datos de las organizaciones de las Naciones Unidas para la Alimentación y la Agricultura y Mundial de la Salud, males bacterianos como la salmonelosis, la listeriosis o infecciones por E. coli, han causado la muerte a 420 mil personas."
2025-06-05,Reflexión 24 CDMX (Sitio),Las abejas sostienen la vida en el planeta: UAM realiza Abeja Con Ciencia para fomentar su protección,"""Las abejas aseguran la alimentación de prácticamente todas las especies del planeta, incluido el ser humano; su desaparición sería una catástrofe internacional"", advirtió el doctor Rafael Bojalil Parra, director de Apoyo a la Investigación de la UAM, durante la jornada AbejaConCiencia. El poder de las abejas, realizada en la Unidad Xochimilco de esta casa de estudios.Organizado por la División de Ciencias Biológicas y de la Salud (CBS), el evento integró conferencias, talleres y una expo-venta con el objetivo de sensibilizar sobre la importancia ecológica, alimentaria y cultural de las abejas, cuya labor es esencial para mantener la biodiversidad y la salud de los ecosistemas terrestres.Bojalil destacó que el 75% de las plantas que componen la dieta humana dependen de la polinización, y que el 70% de los cultivos agrícolas también requieren de estos insectos para reproducirse. Su labor no solo incrementa la producción, sino que mejora la diversidad genética y la resiliencia de los cultivos.En ese sentido, el académico comparó el papel de las universidades con el de las abejas: ""Así como ellas polinizan los ecosistemas, las universidades deben polinizar la sociedad con conocimiento, ciencia y cultura"".Por su parte, el doctor Jorge Ismael Castañeda Sánchez, secretario académico de la CBS, recordó que México alberga al menos 46 especies de abejas nativas, con un valor tanto ecológico como cultural, y lamentó que el cambio climático y el uso de pesticidas estén reduciendo sus poblaciones.Durante AbejaConCiencia se ofrecieron conferencias sobre las propiedades inmunológicas de la miel, el valor agregado de los productos de la colmena y la identificación de insectos polinizadores. Además, los asistentes participaron en talleres como Heridas con miel de abeja, Jardín de Polinizadores y Reciclatera.El evento también contó con una expo-venta de productos locales derivados de la apicultura y la agricultura sustentable, impulsada por productores agroecológicos del suelo de conservación de la CDMX y colectivos como Opuntia Mapachosa y Salvando Abejas.Para estudiantes como Karen Díaz Martínez, el evento fue revelador: ""Sin abejas, la seguridad alimentaria mundial estaría en riesgo. Es muy valioso que la UAM impulse este tipo de iniciativas""."
2025-06-05,CCO Noticias (sitio),2 marchas y 13 manifestaciones hoy en la CDMX,"La Ciudad de México vivirá un día de 'locos' con 2 marchas y 13 concentraciones programadas para este jueves 5 de junio de 2025. Estas actividades podrían generar afectaciones viales en diversas zonas de la capital, por lo que se recomienda a la ciudadanía tomar precauciones y considerar rutas alternas."
2025-06-05,Periodismo y Ambiente CDMX (sitio),"Necesarias, iniciativas colectivas poner fin a la contaminación por plásticos","El Día Mundial del Medio Ambiente 2025 se centra en un tema crucial: poner fin a la contaminación por plásticos. La realidad es que en México, de acuerdo con datos del gobierno federal, se producen cerca de 44.6 millones de toneladas de residuos urbanos, de los cuales, siete millones son plásticos que pueden terminar afectando los ecosistemas."
